id,file_pattern,instrument,species,collected_by,collection_date,country,1,2,3,4,5
B1BFCD74-60B8-41BB-9988-61FEB4A33D83,B1BFCD74-60B8-41BB-9988-61FEB4A33D83,Illumina NextSeq 550,Listeria monocytogenes,Austria,18/01/2010,Austria,,,,,
CB5B6286-DD84-441A-933A-EE2AAF6FC21C,CB5B6286-DD84-441A-933A-EE2AAF6FC21C,Illumina NextSeq 550,Listeria monocytogenes,Austria,26/01/2010,Austria,,,,,
E19A51D8-6A81-4391-A17F-D771C3503676,E19A51D8-6A81-4391-A17F-D771C3503676,Illumina NextSeq 550,Listeria monocytogenes,Austria,26/01/2010,Austria,,,,,
E89B0641-3C7F-440F-ADDB-23F8DEC32B50,E89B0641-3C7F-440F-ADDB-23F8DEC32B50,Illumina MiSeq,Listeria monocytogenes,Austria,05/02/2010,Austria,,,,,
009F450F-EA69-42B5-B7B7-344CF5FAE01F,009F450F-EA69-42B5-B7B7-344CF5FAE01F,Illumina HiSeq 2000,Listeria monocytogenes,Austria,05/02/2010,Austria,,,,,
8891D44C-A026-4E4C-A818-BE541320A354,8891D44C-A026-4E4C-A818-BE541320A354,Illumina NextSeq 550,Listeria monocytogenes,Austria,17/02/2010,Austria,,,,,
B45681E3-4E89-4C7C-9828-A8C5AA0B0E7C,B45681E3-4E89-4C7C-9828-A8C5AA0B0E7C,Illumina NextSeq 550,Listeria monocytogenes,Austria,25/02/2010,Austria,,,,,
FA250076-BF3A-4F90-BDD6-5003C9CD9168,FA250076-BF3A-4F90-BDD6-5003C9CD9168,Illumina NextSeq 550,Listeria monocytogenes,Austria,15/03/2010,Austria,,,,,
6EB56B0C-6FB1-4C9B-8C9F-B1F2850C84D2,6EB56B0C-6FB1-4C9B-8C9F-B1F2850C84D2,Illumina NextSeq 550,Listeria monocytogenes,Austria,15/03/2010,Austria,,,,,
5E854261-0573-4A15-A318-AA0E2C66F3B1,5E854261-0573-4A15-A318-AA0E2C66F3B1,Illumina NextSeq 550,Listeria monocytogenes,Austria,15/03/2010,Austria,,,,,
53B74A09-0BB6-4730-A64E-5CC162E437BA,53B74A09-0BB6-4730-A64E-5CC162E437BA,Illumina HiSeq 2000,Listeria monocytogenes,Austria,23/03/2010,Austria,,,,,
6FC7B5CC-C4ED-45B7-8FC7-73E7974D6FA1,6FC7B5CC-C4ED-45B7-8FC7-73E7974D6FA1,Illumina HiSeq 2000,Listeria monocytogenes,Austria,10/04/2010,Austria,,,,,
18BC1D3D-EF6C-4E59-A6A0-D4B757E1DE7F,18BC1D3D-EF6C-4E59-A6A0-D4B757E1DE7F,Illumina HiSeq 2000,Listeria monocytogenes,Austria,19/04/2010,Austria,,,,,
14825576-3EF4-4ABA-BC18-9CF71A5CA589,14825576-3EF4-4ABA-BC18-9CF71A5CA589,Illumina NextSeq 550,Listeria monocytogenes,Austria,23/04/2010,Austria,,,,,
4B4EF77D-C618-4566-BB4F-0CAA983934E7,4B4EF77D-C618-4566-BB4F-0CAA983934E7,Illumina HiSeq 2000,Listeria monocytogenes,Austria,27/04/2010,Austria,,,,,
C1AB0BA8-1E17-4666-B48D-E7BCB4FDE873,C1AB0BA8-1E17-4666-B48D-E7BCB4FDE873,Illumina NextSeq 550,Listeria monocytogenes,Austria,06/05/2010,Austria,,,,,
D090382E-86F5-49AD-AC99-BCBDD8DC9242,D090382E-86F5-49AD-AC99-BCBDD8DC9242,Illumina NextSeq 550,Listeria monocytogenes,Austria,13/05/2010,Austria,,,,,
10717E34-B073-4726-B511-906BD4ED60E5,10717E34-B073-4726-B511-906BD4ED60E5,Illumina HiSeq 2000,Listeria monocytogenes,Austria,14/05/2010,Austria,,,,,
0792E205-95C3-4072-9131-D00670E39C9A,0792E205-95C3-4072-9131-D00670E39C9A,Illumina NextSeq 550,Listeria monocytogenes,Austria,28/05/2010,Austria,,,,,
9F2A84BB-D562-4718-87C4-76C87AFBDCBD,9F2A84BB-D562-4718-87C4-76C87AFBDCBD,Illumina NextSeq 550,Listeria monocytogenes,Austria,30/05/2010,Austria,,,,,
D53B03B9-C032-42C3-9149-BA4F795385C4,D53B03B9-C032-42C3-9149-BA4F795385C4,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2010,Austria,,,,,
3CCE04CB-0AC8-41F2-A6FE-671A74732687,3CCE04CB-0AC8-41F2-A6FE-671A74732687,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2010,Austria,,,,,
887AA976-2EE8-41E3-B2A6-413CC6A46BF5,887AA976-2EE8-41E3-B2A6-413CC6A46BF5,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2010,Austria,,,,,
45E1BBA7-8D62-4135-B7F6-6170030DCFFD,45E1BBA7-8D62-4135-B7F6-6170030DCFFD,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2010,Austria,,,,,
FE4A0190-FD90-4363-8B1A-890E661B5445,FE4A0190-FD90-4363-8B1A-890E661B5445,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2010,Austria,,,,,
252AA534-190B-477E-9FC1-593241DA69E6,252AA534-190B-477E-9FC1-593241DA69E6,Illumina NextSeq 550,Listeria monocytogenes,Austria,23/08/2010,Austria,,,,,
875245B5-58B5-412D-ACC3-45C92B1C82CB,875245B5-58B5-412D-ACC3-45C92B1C82CB,Illumina NextSeq 550,Listeria monocytogenes,Austria,15/11/2010,Austria,,,,,
55D8311D-28E8-40D5-AE13-084D39CF4231,55D8311D-28E8-40D5-AE13-084D39CF4231,Illumina HiSeq 2000,Listeria monocytogenes,Austria,10/12/2010,Austria,,,,,
E77E911E-0678-478E-AE67-D602D2899925,E77E911E-0678-478E-AE67-D602D2899925,Illumina NextSeq 550,Listeria monocytogenes,Austria,29/12/2010,Austria,,,,,
9DC4B2F5-6210-48EA-938E-A51375B0A242,9DC4B2F5-6210-48EA-938E-A51375B0A242,Illumina NextSeq 550,Listeria monocytogenes,Austria,03/01/2011,Austria,,,,,
5175694E-A9AA-432F-8D79-BC87BA07D1F6,5175694E-A9AA-432F-8D79-BC87BA07D1F6,Illumina HiSeq 2000,Listeria monocytogenes,Austria,26/01/2011,Austria,,,,,
3E31F383-F0B9-439F-8EDB-66236C6A7512,3E31F383-F0B9-439F-8EDB-66236C6A7512,Illumina NextSeq 550,Listeria monocytogenes,Austria,03/03/2011,Austria,,,,,
BA20DCF9-F16D-41F2-BB4A-98BA54750FB4,BA20DCF9-F16D-41F2-BB4A-98BA54750FB4,Illumina HiSeq 2000,Listeria monocytogenes,Austria,13/03/2011,Austria,,,,,
300262CE-FBA0-489F-B76A-81C35C0DFA0D,300262CE-FBA0-489F-B76A-81C35C0DFA0D,Illumina HiSeq 2000,Listeria monocytogenes,Austria,18/03/2011,Austria,,,,,
B3C67105-81F6-4654-ABBC-713F101379AA,B3C67105-81F6-4654-ABBC-713F101379AA,Illumina NextSeq 550,Listeria monocytogenes,Austria,07/04/2011,Austria,,,,,
05461485-E218-423F-A587-0840F5B46EAE,05461485-E218-423F-A587-0840F5B46EAE,Illumina NextSeq 550,Listeria monocytogenes,Austria,12/04/2011,Austria,,,,,
7FAB000F-367D-4910-8C24-AD3B2E83E955,7FAB000F-367D-4910-8C24-AD3B2E83E955,Illumina HiSeq 2000,Listeria monocytogenes,Austria,16/04/2011,Austria,,,,,
1B7CE6B3-7EA3-4D5F-8FCF-35A322C3628E,1B7CE6B3-7EA3-4D5F-8FCF-35A322C3628E,Illumina NextSeq 550,Listeria monocytogenes,Austria,10/05/2011,Austria,,,,,
ACABE62E-835D-48E5-A2CC-E20AA740524E,ACABE62E-835D-48E5-A2CC-E20AA740524E,Illumina HiSeq 2000,Listeria monocytogenes,Austria,14/06/2011,Austria,,,,,
CAD11CEE-DC1F-4254-8321-78A211CD4D0C,CAD11CEE-DC1F-4254-8321-78A211CD4D0C,Illumina NextSeq 550,Listeria monocytogenes,Austria,18/06/2011,Austria,,,,,
3BA24473-9BA2-4A93-B300-67C41757B985,3BA24473-9BA2-4A93-B300-67C41757B985,Illumina NextSeq 550,Listeria monocytogenes,Austria,01/07/2011,Austria,,,,,
