Listeria monocytogenes	1639
Escherichia coli	562
Salmonella enterica subsp. enterica serovar Teko	2079198
Salmonella enterica subsp. enterica serovar Papuana	2060941
Salmonella enterica subsp. enterica serovar Amersfoort	2060071
"Salmonella enterica subsp. enterica serovar 4,12:nonmotile"	2055190
"Salmonella enterica subsp. houtenae serovar 53:z4,z23:-"	2053488
Salmonella enterica subsp. enterica serovar Legon	2052597
Salmonella enterica subsp. diarizonae serovar 53:z10:z	2051904
Salmonella enterica subsp. enterica serovar Kotte	2048769
Salmonella enterica subsp. enterica serovar Diguel	2044596
Salmonella enterica subsp. enterica serovar Lehrte	2042303
Salmonella enterica subsp. enterica serovar Umbilo	2041616
Salmonella enterica subsp. enterica serovar Yaba	2036205
Salmonella enterica subsp. enterica serovar Ruiru	2036204
"Salmonella enterica subsp. arizonae serovar 47:z4,z23:-"	2034674
"Salmonella enterica subsp. diarizonae serovar 61:l,[v],[z13]:1,5,[7]"	2029769
Salmonella enterica subsp. diarizonae serovar 38:[k]:z35	2025602
"Salmonella enterica subsp. houtenae serovar O:11:g,z25:-"	2025576
Salmonella enterica subsp. enterica serovar Sundsvall	2024273
Salmonella enterica subsp. enterica serovar Plymouth	2024272
Salmonella enterica subsp. enterica serovar Bere	2024271
Salmonella enterica subsp. enterica serovar Altendorf	2024270
Salmonella enterica subsp. enterica serovar Ekotedo	2024269
Salmonella enterica subsp. enterica serovar Carno	2024268
Salmonella enterica subsp. enterica serovar Takoradi	2024267
Salmonella enterica subsp. enterica serovar Tees	2024266
Salmonella enterica subsp. enterica serovar Szentes	2021404
Salmonella enterica subsp. enterica serovar Adjame	2021403
Salmonella enterica subsp. enterica serovar Tudu	2021402
Salmonella enterica subsp. enterica serovar Hato	2017678
Salmonella enterica subsp. enterica serovar Pakistan	2016496
Salmonella enterica subsp. enterica serovar Luke	1975667
Salmonella enterica subsp. enterica serovar Seftenburg	1974324
"Salmonella enterica subsp. enterica serovar Rough O:d:1,7"	1974323
"Salmonella enterica subsp. houtenae serovar 40:z4,z32:-"	1974322
Salmonella enterica subsp. diarizonae serovar Rough:r:z	1974321
Salmonella enterica subsp. arizonae serovar 50:r:z	1974320
Salmonella enterica subsp. enterica serovar Holcomb	1974319
"Salmonella enterica subsp. enterica serovar 6,8:i:-"	1974318
Salmonella enterica subsp. enterica serovar Wippra	1969920
"Salmonella enterica subsp. indica serovar 1,6,14:a:e,n,x"	1967993
Salmonella enterica subsp. enterica serovar Elizabethville	1967992
Salmonella enterica subsp. enterica serovar Colindale	1967991
Salmonella enterica subsp. enterica serovar Chandans	1967990
Salmonella enterica subsp. enterica serovar Amager	1967989
Salmonella enterica subsp. enterica serovar Abaeeteuba	1967988
Salmonella enterica subsp. enterica serovar Arizonae	1967987
Salmonella enterica subsp. enterica serovar Bukuru	1967953
Salmonella enterica subsp. enterica serovar Wilhemsburg	1967662
Salmonella enterica subsp. enterica serovar Westthampton	1967661
Salmonella enterica subsp. enterica serovar Weltenvreden	1967660
Salmonella enterica subsp. enterica serovar Vinobrady	1967659
Salmonella enterica subsp. enterica serovar Vinnorrhady	1967658
Salmonella enterica subsp. enterica serovar Telelkebir	1967657
Salmonella enterica subsp. enterica serovar Tarshyne	1967656
Salmonella enterica subsp. enterica serovar Schwardzengrund	1967655
Salmonella enterica subsp. enterica serovar Oritamerin	1967654
Salmonella enterica subsp. enterica serovar Onireke	1967653
Salmonella enterica subsp. enterica serovar Mbadaka	1967652
Salmonella enterica subsp. enterica serovar Manhatten	1967651
Salmonella enterica subsp. enterica serovar Lomalinda	1967650
Salmonella enterica subsp. enterica serovar Kohbu	1967649
Salmonella enterica subsp. enterica serovar Kambole	1967648
Salmonella enterica subsp. enterica serovar Jukestown	1967647
Salmonella enterica subsp. enterica serovar Ibadan	1967646
Salmonella enterica subsp. enterica serovar Bredeny	1967645
Salmonella enterica subsp. enterica serovar Braenddrup	1967644
Salmonella enterica subsp. enterica serovar Albert	1967643
Salmonella enterica subsp. enterica serovar Agbeni	1967642
"Salmonella enterica subsp. enterica serovar 9,12:l,z28:-"	1967639
"Salmonella enterica subsp. enterica serovar 4,12:b:-"	1967638
"Salmonella enterica subsp. enterica serovar 6,7:lw:-"	1967637
Salmonella enterica subsp. enterica serovar 6.8:eh:-	1967636
"Salmonella enterica subsp. arizonae serovar 56:z4,z23,(z32):-"	1967630
"Salmonella enterica subsp. VII serovar 40:z4,z24:[z39]"	1967625
"Salmonella enterica subsp. salamae serovar 60:g,m,t:z6"	1967624
Salmonella enterica subsp. salamae serovar 58:a:-	1967623
Salmonella enterica subsp. salamae serovar 53:lz28:z39	1967622
Salmonella enterica subsp. salamae serovar 50:b:z6	1967621
Salmonella enterica subsp. salamae serovar 47:d:z39	1967620
"Salmonella enterica subsp. salamae serovar 47:b:1,5"	1967619
"Salmonella enterica subsp. salamae serovar 47:a:1,5"	1967618
"Salmonella enterica subsp. salamae serovar 42:z:1,5"	1967617
"Salmonella enterica subsp. salamae serovar 42:b:1,5"	1967616
"Salmonella enterica subsp. salamae serovar 30:1,z28:z6"	1967615
Salmonella enterica subsp. salamae serovar 18:z10:z6	1967614
"Salmonella enterica subsp. salamae serovar 13,22:z29:enx"	1967613
"Salmonella enterica subsp. houtenae serovar 50:z4,z23:-"	1967612
"Salmonella enterica subsp. houtenae serovar 45:g,z51:-"	1967611
"Salmonella enterica subsp. houtenae serovar 44:z4,z24:-"	1967610
Salmonella enterica subsp. houtenae serovar 44:z36[z38]:-	1967609
"Salmonella enterica subsp. houtenae serovar 43:z4,z32:-"	1967608
"Salmonella enterica subsp. houtenae serovar 41:z4,z23:-"	1967607
"Salmonella enterica subsp. houtenae serovar 21:z4,z23:-"	1967606
"Salmonella enterica subsp. houtenae serovar 11:z4,z23:-"	1967605
"Salmonella enterica subsp. houtenae serovar 1,40:z4,z32:-"	1967604
Salmonella enterica subsp. enterica serovar Tornow	1967601
Salmonella enterica subsp. enterica serovar Saphra	1967600
Salmonella enterica subsp. enterica serovar Gera	1967599
